TWA\TWS;0;2;4;6;8;10;12;14;16;18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60
100;0.000;1.540;3.150;4.930;6.800;7.780;8.440;9.320;9.870;10.230;10.590;11.210;11.820;12.320;12.810;13.250;13.680;14.360;15.030;15.640;16.250;16.830;17.420;17.940;18.400;18.860;18.860;18.860;18.860;18.860;18.860
105;0.000;1.490;3.080;4.840;6.700;7.690;8.470;9.560;10.030;10.500;10.970;11.560;12.150;12.710;13.270;13.720;14.170;14.880;15.580;16.230;16.870;17.480;18.100;18.640;19.130;19.610;19.610;19.610;19.610;19.610;19.610
110;0.000;1.450;3.000;4.760;6.600;7.610;8.490;9.610;10.190;10.770;11.350;11.960;12.570;13.140;13.720;14.240;14.760;15.500;16.240;16.910;17.580;18.230;18.870;19.450;19.950;20.460;20.460;20.460;20.460;20.460;20.460
115;0.000;1.400;2.850;4.590;6.500;7.520;8.410;9.550;10.350;10.940;11.530;12.310;13.090;13.680;14.280;14.860;15.450;16.220;17.000;17.700;18.400;19.070;19.750;20.350;20.880;21.400;21.400;21.400;21.400;21.400;21.400
120;0.000;1.350;2.770;4.330;6.400;7.430;8.330;9.500;10.300;11.000;11.700;12.560;13.410;14.120;14.830;15.440;16.040;16.850;17.650;18.390;19.120;19.820;20.520;21.150;21.700;22.250;22.250;22.250;22.250;22.250;22.250
125;0.000;1.260;2.630;4.170;6.100;7.250;8.160;9.340;10.260;10.970;11.680;12.710;13.730;14.510;15.290;16.010;16.730;17.570;18.410;19.170;19.940;20.670;21.400;22.050;22.630;23.200;23.200;23.200;23.200;23.200;23.200
130;0.000;1.210;2.480;3.910;5.900;7.160;7.980;9.290;10.120;10.890;11.660;12.760;13.850;14.800;15.740;16.530;17.320;18.190;19.070;19.860;20.650;21.410;22.180;22.850;23.450;24.050;24.050;24.050;24.050;24.050;24.050
135;0.000;1.120;2.330;3.740;5.600;6.880;7.800;9.040;9.980;10.710;11.440;12.710;13.970;14.990;16.000;16.900;17.810;18.710;19.620;20.450;21.270;22.060;22.850;23.560;24.180;24.800;24.800;24.800;24.800;24.800;24.800
140;0.000;1.030;2.170;3.480;5.300;6.690;7.620;8.880;9.840;10.580;11.320;12.560;13.790;14.870;15.960;16.980;18.000;18.940;19.880;20.730;21.590;22.410;23.230;23.960;24.600;25.240;25.240;25.240;25.240;25.240;25.240
145;0.000;0.980;2.020;3.310;5.000;6.400;7.340;8.630;9.600;10.450;11.300;12.460;13.620;14.710;15.810;16.900;17.980;18.960;19.940;20.820;21.710;22.560;23.400;24.160;24.830;25.490;25.490;25.490;25.490;25.490;25.490
150;0.000;0.890;1.950;3.150;4.700;6.120;7.170;8.470;9.450;10.320;11.180;12.310;13.440;14.550;15.670;16.770;17.870;18.880;19.890;20.810;21.720;22.600;23.480;24.260;24.950;25.640;25.640;25.640;25.640;25.640;25.640
155;0.000;0.860;1.830;2.900;4.390;5.680;6.810;8.110;9.080;9.930;10.780;11.900;13.020;14.080;15.130;16.280;17.420;18.430;19.450;20.370;21.300;22.180;23.060;23.850;24.550;25.240;25.240;25.240;25.240;25.240;25.240
160;0.000;0.800;1.710;2.750;4.180;5.360;6.470;7.760;8.710;9.550;10.390;11.500;12.610;13.660;14.700;15.830;16.960;17.980;19.000;19.930;20.860;21.750;22.640;23.430;24.130;24.830;24.830;24.830;24.830;24.830;24.830
165;0.000;0.730;1.600;2.590;3.880;5.140;6.140;7.500;8.450;9.270;10.100;11.200;12.300;13.290;14.280;15.340;16.410;17.440;18.460;19.400;20.330;21.220;22.110;22.910;23.610;24.310;24.310;24.310;24.310;24.310;24.310
170;0.000;0.710;1.550;2.450;3.780;4.920;5.900;7.250;8.090;8.900;9.720;10.810;11.900;12.920;13.940;14.950;15.960;16.990;18.020;18.950;19.880;20.780;21.680;22.470;23.180;23.880;23.880;23.880;23.880;23.880;23.880
175;0.000;0.690;1.440;2.380;3.590;4.800;5.670;7.000;7.920;8.670;9.430;10.510;11.590;12.550;13.510;14.550;15.590;16.620;17.650;18.590;19.520;20.420;21.310;22.110;22.820;23.520;23.520;23.520;23.520;23.520;23.520
180;0.000;0.680;1.410;2.330;3.510;4.610;5.550;6.870;7.690;8.480;9.270;10.340;11.410;12.360;13.310;14.300;15.280;16.310;17.340;18.270;19.210;20.100;21.000;21.800;22.500;23.200;23.200;23.200;23.200;23.200;23.200
