TWA\TWS;0;2;4;6;8;10;12;14;16;18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60
55;0.000;2.410;4.870;6.480;8.450;10.790;12.140;12.480;12.820;13.800;14.770;15.750;15.760;15.770;15.070;13.650;12.230;10.810;10.060;9.300;8.550;7.250;5.410;3.570;1.740;1.300;0.870;0.430;0.000;0.000;0.000
60;0.000;2.600;5.290;6.960;8.940;11.250;12.590;12.980;13.360;14.340;15.320;16.300;16.360;16.430;15.790;14.460;13.120;11.790;11.030;10.270;9.510;8.100;6.050;4.000;1.950;1.460;0.980;0.490;0.000;0.000;0.000
65;0.000;2.620;5.320;7.000;9.000;11.300;12.690;13.170;13.650;14.750;15.850;16.960;17.050;17.140;16.510;15.170;13.830;12.490;11.680;10.880;10.070;8.670;6.670;4.680;2.680;2.090;1.500;0.920;0.330;0.250;0.160
70;0.000;2.640;5.350;7.050;9.050;11.350;12.780;13.360;13.930;15.160;16.380;17.610;17.730;17.850;17.240;15.890;14.530;13.180;12.330;11.480;10.630;9.240;7.300;5.360;3.420;2.730;2.030;1.340;0.650;0.490;0.330
75;0.000;2.660;5.390;7.100;9.100;11.400;12.880;13.550;14.220;15.560;16.910;18.260;18.410;18.570;17.960;16.600;15.240;13.880;12.980;12.090;11.190;9.800;7.920;6.030;4.150;3.360;2.560;1.770;0.980;0.740;0.490
80;0.000;2.680;5.420;7.150;9.160;11.450;12.970;13.740;14.500;15.970;17.440;18.920;19.100;19.280;18.690;17.310;15.940;14.570;13.630;12.690;11.750;10.370;8.540;6.710;4.880;3.990;3.090;2.200;1.310;0.980;0.650
85;0.000;2.700;5.450;7.190;9.210;11.500;13.070;13.930;14.780;16.380;17.970;19.570;19.780;19.990;19.410;18.030;16.650;15.270;14.280;13.300;12.310;10.930;9.160;7.390;5.610;4.620;3.620;2.630;1.630;1.230;0.820
90;0.000;2.720;5.480;7.240;9.260;11.550;13.160;14.110;15.070;16.790;18.500;20.220;20.470;20.710;20.130;18.740;17.350;15.960;14.930;13.900;12.870;11.500;9.780;8.060;6.350;5.250;4.150;3.060;1.960;1.470;0.980
95;0.000;2.740;5.520;7.290;9.320;11.600;13.260;14.300;15.350;17.190;19.040;20.880;21.150;21.420;20.860;19.460;18.060;16.660;15.580;14.510;13.430;12.060;10.400;8.740;7.080;5.880;4.680;3.480;2.290;1.720;1.150
100;0.000;2.760;5.550;7.340;9.370;11.640;13.350;14.490;15.630;17.600;19.570;21.530;21.830;22.130;21.580;20.170;18.760;17.360;16.230;15.110;13.990;12.630;11.020;9.420;7.810;6.510;5.210;3.910;2.610;1.960;1.310
105;0.000;2.780;5.580;7.380;9.420;11.690;13.450;14.680;15.920;18.010;20.100;22.190;22.520;22.850;22.300;20.890;19.470;18.050;16.890;15.720;14.550;13.200;11.650;10.100;8.550;7.140;5.740;4.340;2.940;2.210;1.470
110;0.000;2.800;5.610;7.430;9.470;11.740;13.540;14.870;16.200;18.410;20.630;22.840;23.200;23.560;23.030;21.600;20.170;18.750;17.540;16.330;15.110;13.760;12.270;10.770;9.280;7.780;6.270;4.770;3.260;2.450;1.640
115;0.000;2.820;5.640;7.480;9.530;11.790;13.640;15.060;16.480;18.820;21.160;23.490;23.880;24.270;23.750;22.310;20.880;19.440;18.190;16.930;15.670;14.330;12.890;11.450;10.010;8.410;6.800;5.200;3.590;2.700;1.800
120;0.000;2.830;5.680;7.530;9.580;11.840;13.730;15.250;16.770;19.230;21.690;24.150;24.570;24.990;24.470;23.030;21.580;20.140;18.840;17.540;16.230;14.890;13.510;12.130;10.740;9.040;7.330;5.620;3.920;2.940;1.960
125;0.000;2.850;5.710;7.570;9.630;11.890;13.830;15.440;17.050;19.630;22.220;24.800;25.250;25.700;25.200;23.740;22.290;20.830;19.490;18.140;16.800;15.460;14.130;12.800;11.480;9.670;7.860;6.050;4.240;3.190;2.130
130;0.000;2.870;5.740;7.620;9.690;11.940;13.920;15.630;17.340;20.040;22.750;25.450;25.930;26.410;25.920;24.460;22.990;21.530;20.140;18.750;17.360;16.020;14.750;13.480;12.210;10.300;8.390;6.480;4.570;3.430;2.290
135;0.000;2.660;5.320;7.140;9.130;11.280;13.220;14.930;16.650;19.480;22.320;25.150;25.730;26.300;25.940;24.660;23.370;22.080;20.610;19.130;17.660;16.330;15.140;13.950;12.760;10.790;8.830;6.870;4.910;3.710;2.510
140;0.000;2.450;4.900;6.670;8.580;10.630;12.510;14.240;15.960;18.920;21.890;24.850;25.520;26.180;25.960;24.850;23.750;22.640;21.080;19.520;17.960;16.630;15.520;14.410;13.300;11.290;9.270;7.260;5.250;3.990;2.730
145;0.000;2.240;4.480;6.190;8.020;9.970;11.810;13.540;15.270;18.360;21.460;24.550;25.310;26.070;25.980;25.050;24.120;23.190;21.550;19.910;18.260;16.930;15.900;14.870;13.850;11.780;9.710;7.650;5.580;4.260;2.940
150;0.000;2.030;4.060;5.710;7.470;9.320;11.110;12.840;14.580;17.800;21.030;24.260;25.100;25.950;26.000;25.250;24.500;23.750;22.020;20.290;18.560;17.230;16.280;15.340;14.390;12.270;10.160;8.040;5.920;4.540;3.160
155;0.000;1.850;3.710;5.280;6.970;8.770;10.500;12.160;13.830;16.800;19.770;22.750;23.620;24.490;24.610;23.980;23.360;22.730;21.420;20.110;18.800;17.600;16.500;15.400;14.300;12.180;10.070;7.960;5.850;4.480;3.120
160;0.000;1.680;3.350;4.840;6.470;8.220;9.890;11.490;13.080;15.800;18.520;21.240;22.130;23.020;23.210;22.710;22.210;21.710;20.820;19.940;19.050;17.970;16.710;15.460;14.200;12.100;9.990;7.890;5.780;4.430;3.070
165;0.000;1.580;3.160;4.590;6.140;7.820;9.400;10.860;12.330;14.790;17.260;19.730;20.640;21.550;21.810;21.440;21.070;20.690;19.970;19.250;18.520;17.680;16.720;15.760;14.810;12.530;10.260;7.980;5.710;4.370;3.030
170;0.000;1.480;2.970;4.330;5.810;7.420;8.900;10.230;11.570;13.790;16.000;18.220;19.140;20.070;20.410;20.160;19.920;19.670;19.110;18.560;18.000;17.390;16.730;16.070;15.410;12.970;10.530;8.080;5.640;4.320;2.990
175;0.000;1.430;2.860;4.180;5.530;6.920;8.190;9.340;10.490;12.420;14.340;16.270;17.170;18.060;18.440;18.300;18.160;18.010;17.610;17.200;16.800;16.320;15.760;15.200;14.640;12.370;10.110;7.840;5.580;4.270;2.960
180;0.000;1.390;2.770;4.050;5.300;6.510;7.620;8.620;9.630;11.320;13.020;14.710;15.580;16.460;16.870;16.810;16.750;16.690;16.410;16.120;15.840;15.460;14.980;14.500;14.020;11.890;9.770;7.650;5.530;4.230;2.940
