TWA\TWS;0;2;4;6;8;10;12;14;16;18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60
90;0.000;2.720;5.430;7.740;9.070;10.590;11.620;12.900;13.790;15.350;16.790;17.640;17.930;18.090;18.110;18.120;17.600;17.070;15.630;14.200;12.620;11.040;8.420;5.800;3.700;1.600;1.280;0.960;0.640;0.320;0.320
95;0.000;2.680;5.370;7.790;9.170;10.730;11.810;13.080;13.810;15.520;17.280;18.230;18.590;18.760;18.760;18.750;18.160;17.580;16.070;14.570;13.000;11.440;8.890;6.350;4.350;2.350;1.880;1.410;0.940;0.470;0.470
100;0.000;2.720;5.450;7.850;9.260;10.870;11.990;13.260;14.060;15.940;17.880;18.940;19.370;19.570;19.510;19.460;18.790;18.130;16.530;14.920;13.390;11.860;9.460;7.060;5.220;3.390;2.710;2.040;1.360;0.680;0.680
105;0.000;2.750;5.500;7.910;9.360;11.000;12.180;13.440;14.350;16.270;18.260;19.570;20.200;20.460;20.320;20.190;19.420;18.650;16.930;15.220;13.730;12.240;10.010;7.780;6.150;4.520;3.620;2.720;1.810;0.910;0.910
110;0.000;2.770;5.540;7.960;9.450;11.140;12.360;13.620;14.650;16.610;18.650;20.090;20.810;21.100;20.960;20.820;20.020;19.220;17.580;15.940;14.490;13.050;10.880;8.720;7.260;5.800;4.640;3.470;2.310;1.150;1.150
115;0.000;2.840;5.680;8.020;9.550;11.280;12.550;13.800;14.950;16.960;19.030;20.610;21.420;21.740;21.590;21.450;20.620;19.790;18.220;16.650;15.260;13.870;11.900;9.930;8.620;7.300;5.850;4.390;2.930;1.460;1.460
120;0.000;2.910;5.810;8.080;9.640;11.420;12.730;13.980;15.500;17.550;19.680;21.250;22.030;22.360;22.240;22.110;21.270;20.430;18.840;17.250;15.930;14.620;12.820;11.030;9.900;8.770;7.020;5.260;3.510;1.760;1.760
125;0.000;2.960;5.930;8.060;9.720;11.630;13.040;14.390;16.040;18.320;20.680;22.270;23.090;23.440;23.320;23.200;22.350;21.500;19.860;18.220;16.980;15.750;14.100;12.460;11.490;10.530;8.420;6.320;4.210;2.110;2.110
130;0.000;2.870;5.740;7.870;9.250;11.160;12.590;13.950;15.760;18.250;20.810;23.140;23.980;24.320;24.130;23.930;22.730;21.530;20.000;18.480;17.270;16.050;14.520;12.980;12.210;11.430;9.150;6.860;4.570;2.290;2.290
135;0.000;2.710;5.420;7.490;8.940;10.900;12.310;13.660;14.980;17.590;20.280;22.780;23.790;24.190;23.960;23.720;22.640;21.560;20.150;18.740;17.550;16.360;14.930;13.500;12.920;12.340;9.870;7.400;4.940;2.470;2.470
140;0.000;2.500;4.990;6.980;8.470;9.960;11.230;12.450;14.400;17.080;19.860;22.680;23.930;24.440;24.200;23.960;22.770;21.590;20.300;19.010;17.840;16.660;15.340;14.020;13.630;13.250;10.600;7.950;5.300;2.650;2.650
145;0.000;2.260;4.510;6.380;7.860;9.350;10.490;11.860;13.910;16.520;19.220;22.160;23.490;24.060;23.850;23.660;22.640;21.620;20.440;19.270;18.120;16.970;15.760;14.540;14.350;14.150;11.320;8.490;5.660;2.830;2.830
150;0.000;2.030;4.060;5.810;7.280;8.760;9.860;10.960;13.250;16.210;18.910;22.050;23.470;24.080;23.890;23.710;22.650;21.590;20.550;19.500;18.300;17.110;15.840;14.580;14.390;14.210;11.450;8.680;5.920;3.160;3.160
155;0.000;1.850;3.700;5.350;6.790;8.230;9.360;10.480;12.570;15.260;17.800;20.680;22.150;22.740;22.580;22.430;21.550;20.660;19.790;18.920;17.850;16.770;15.620;14.470;14.300;14.130;11.350;8.580;5.850;3.110;3.110
160;0.000;1.680;3.350;4.890;6.290;7.690;8.850;10.010;11.890;14.310;16.680;19.310;20.830;21.390;21.260;21.140;20.440;19.740;19.040;18.340;17.390;16.430;15.400;14.360;14.200;14.040;11.260;8.480;5.780;3.070;3.070
165;0.000;1.580;3.160;4.620;5.970;7.310;8.380;9.440;11.200;13.360;15.570;17.930;19.510;20.050;19.950;19.860;19.340;18.810;18.280;17.760;16.930;16.100;15.180;14.260;14.110;13.960;11.170;8.380;5.710;3.030;3.030
170;0.000;1.480;2.970;4.360;5.650;6.940;8.030;9.120;10.520;12.410;14.460;16.560;18.190;18.700;18.640;18.580;18.230;17.880;17.530;17.180;16.470;15.760;14.960;14.150;14.010;13.880;11.080;8.280;5.640;2.990;2.990
175;0.000;1.410;2.820;4.150;5.400;6.640;7.640;8.640;9.840;11.460;13.350;15.190;16.870;17.350;17.330;17.300;17.120;16.950;16.770;16.600;16.010;15.430;14.740;14.040;13.920;13.790;10.990;8.180;5.560;2.950;2.950
180;0.000;1.370;2.730;4.020;5.240;6.460;7.450;8.440;9.300;10.700;12.460;14.100;15.810;16.280;16.270;16.270;16.240;16.210;16.170;16.130;15.650;15.160;14.560;13.960;13.840;13.730;10.910;8.100;5.510;2.920;2.920
