TWA\TWS;0;2;4;6;8;10;12;14;16;18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60
75;0.000;1.940;3.880;5.350;6.350;7.350;7.790;8.230;7.570;8.010;8.450;7.790;8.230;7.570;8.010;8.450;8.590;8.730;9.080;9.640;10.200;10.220;10.240;8.200;4.100;0.000;0.000;0.000;0.000;0.000;0.000
80;0.000;1.960;3.920;5.420;6.460;7.500;7.940;8.380;7.720;8.160;8.600;7.940;8.380;7.720;8.160;8.600;8.740;8.880;9.240;9.820;10.400;10.460;10.520;8.440;4.220;0.000;0.000;0.000;0.000;0.000;0.000
85;0.000;1.980;3.960;5.480;6.540;7.600;8.060;8.520;7.830;8.290;8.750;8.060;8.520;7.830;8.290;8.750;8.890;9.030;9.400;10.000;10.600;10.680;10.760;8.680;4.440;0.200;0.120;0.040;0.000;0.000;0.000
90;0.000;2.000;4.000;5.540;6.620;7.700;8.160;8.620;7.930;8.390;8.850;8.160;8.620;7.930;8.390;8.850;8.990;9.130;9.520;10.160;10.800;10.880;10.960;9.000;5.000;1.000;0.600;0.200;0.000;0.000;0.000
95;0.000;2.020;4.040;5.590;6.670;7.750;8.230;8.710;7.990;8.470;8.950;8.230;8.710;7.990;8.470;8.950;9.090;9.230;9.620;10.260;10.900;11.020;11.140;9.360;5.680;2.000;1.200;0.400;0.000;0.000;0.000
100;0.000;2.020;4.040;5.560;6.680;7.800;8.300;8.800;8.050;8.550;9.050;8.300;8.800;8.050;8.550;9.050;9.190;9.330;9.740;10.420;11.100;11.220;11.340;9.720;6.360;3.000;1.800;0.600;0.000;0.000;0.000
105;0.000;2.000;4.000;5.530;6.690;7.850;8.350;8.850;8.100;8.600;9.100;8.350;8.850;8.100;8.600;9.100;9.240;9.380;9.800;10.500;11.200;11.360;11.520;10.080;7.040;4.000;2.400;0.800;0.000;0.000;0.000
110;0.000;1.990;3.980;5.520;6.680;7.900;8.400;8.900;8.640;8.650;9.150;8.400;8.900;8.150;8.650;9.150;9.290;9.430;9.860;10.580;11.300;11.500;11.700;10.440;7.720;5.000;3.000;1.000;0.000;0.000;0.000
115;0.000;1.990;3.980;5.540;6.670;7.850;8.390;8.930;9.040;9.120;9.200;8.840;8.930;8.380;8.660;9.200;9.340;9.480;9.920;10.660;11.400;11.640;11.880;10.800;8.400;6.000;3.600;1.200;0.000;0.000;0.000
120;0.000;1.980;3.960;5.540;6.720;7.900;8.420;8.940;9.320;9.560;9.800;9.800;9.800;9.780;9.740;9.700;9.360;9.520;9.980;10.740;11.500;11.800;12.100;11.200;9.100;7.000;4.200;1.400;0.000;0.000;0.000
125;0.000;1.960;3.920;5.490;6.670;7.850;8.410;8.970;9.470;9.910;10.350;10.610;10.870;10.980;10.940;10.900;9.350;9.550;10.050;10.850;11.650;11.990;12.330;11.600;9.800;8.000;4.800;1.600;0.000;0.000;0.000
130;0.000;1.920;3.840;5.390;6.570;7.750;8.370;8.990;9.580;10.140;10.700;11.220;11.740;12.040;12.120;12.200;10.120;9.550;10.100;10.950;11.800;12.200;12.600;12.040;10.520;9.000;6.000;3.000;1.200;0.600;0.000
135;0.000;1.860;3.720;5.240;6.420;7.600;8.300;9.000;9.640;10.220;10.800;11.640;12.480;12.940;13.020;13.100;11.660;10.220;10.160;11.080;12.000;12.440;12.880;12.480;11.240;10.000;7.600;5.200;3.200;1.600;0.000
140;0.000;1.780;3.560;5.020;6.160;7.300;8.100;8.900;9.620;10.260;10.900;11.860;12.820;13.340;13.420;13.500;12.500;11.500;10.840;11.130;12.150;12.670;13.190;12.960;11.980;11.000;9.000;7.000;4.800;2.400;0.000
145;0.000;1.660;3.320;4.720;5.860;7.000;7.900;8.800;9.580;10.240;10.900;11.880;12.860;13.400;13.500;13.600;12.960;12.320;11.840;11.920;12.300;12.900;13.500;13.460;12.780;12.100;10.340;8.580;6.160;3.080;0.000
150;0.000;1.540;3.080;4.400;5.500;6.600;7.580;8.560;9.400;10.100;10.800;11.800;12.800;13.360;13.480;13.600;13.160;12.720;12.540;13.020;13.500;13.120;13.840;13.940;13.420;12.900;11.260;9.620;7.040;3.520;0.000
155;0.000;1.380;2.760;3.990;5.070;6.150;7.190;8.230;9.140;9.920;10.700;11.660;12.620;13.170;13.310;13.450;13.170;12.890;12.840;13.720;14.600;13.280;14.160;14.380;13.940;13.500;11.860;10.220;7.520;3.760;0.000
160;0.000;1.200;2.400;3.530;4.590;5.650;6.670;7.690;8.640;9.520;10.400;11.340;12.280;12.820;12.960;13.100;12.960;12.820;12.600;13.800;15.000;13.160;14.320;14.680;14.240;13.800;12.080;10.360;7.600;3.800;0.000
165;0.000;1.020;2.040;3.040;4.020;5.000;5.980;6.960;7.940;8.920;9.900;10.760;11.620;12.130;12.290;12.450;12.390;12.330;12.100;13.200;14.600;12.660;14.220;14.780;14.340;13.900;11.980;10.060;7.280;3.640;0.000
170;0.000;0.840;1.680;2.520;3.360;4.200;5.120;6.040;7.020;8.060;9.100;9.810;10.520;10.980;11.190;11.400;11.440;11.480;11.520;11.600;13.000;11.600;13.340;14.240;14.120;14.000;11.600;9.200;6.400;3.200;0.000
175;0.000;0.680;1.360;2.040;2.720;3.400;4.240;5.080;6.010;7.030;8.050;8.600;9.150;9.580;9.890;10.200;10.200;10.200;10.440;10.920;11.400;11.400;11.400;12.300;12.900;13.500;10.620;7.740;5.040;2.520;0.000
180;0.000;0.540;1.070;1.610;2.140;2.680;3.490;4.300;5.200;6.210;7.210;7.640;8.070;8.480;8.860;9.240;9.240;9.240;9.530;10.100;10.680;10.680;10.680;9.180;9.780;10.700;8.360;6.030;3.890;1.940;0.000
